Fold,Epoch,Loss,ROC_AUC,PR_AUC,HardNeg_Threshold,HardNeg_MaxProb,HardNeg_Count
1,1,0.0732,0.7035,0.0887,0.3737,0.5207,245
1,2,0.0612,0.6756,0.0983,0.2047,0.3723,245
1,3,0.0182,0.6592,0.1016,0.1314,0.2454,245
1,4,0.0104,0.6462,0.1005,0.0976,0.1762,245
1,5,0.0121,0.6298,0.0978,0.0814,0.1405,245
1,6,0.0124,0.6216,0.1086,0.0744,0.1229,245
1,7,0.0116,0.6054,0.1098,0.0735,0.115,245
1,8,0.009,0.5936,0.1062,0.0755,0.1117,245
1,9,0.01,0.5822,0.1023,0.0782,0.1107,245
1,10,0.0106,0.5758,0.1004,0.0801,0.1106,245
1,11,0.0112,0.574,0.0994,0.0812,0.1107,245
1,12,0.0123,0.5733,0.0991,0.0815,0.1107,245
2,1,0.0343,0.6255,0.0561,0.2313,0.4449,487
2,2,0.0201,0.618,0.0572,0.0949,0.2287,487
2,3,0.0131,0.5688,0.0424,0.0954,0.136,487
2,4,0.0135,0.6003,0.0472,0.1483,0.2177,487
2,5,0.0137,0.7005,0.0805,0.0963,0.1602,487
2,6,0.0109,0.7185,0.0886,0.0965,0.1542,487
2,7,0.0124,0.7196,0.093,0.1046,0.1638,487
2,8,0.0104,0.7419,0.1167,0.11,0.1819,487
2,9,0.0112,0.7578,0.1352,0.1123,0.1948,487
2,10,0.0112,0.7611,0.1375,0.1134,0.2011,487
2,11,0.0108,0.7611,0.1389,0.1136,0.204,487
2,12,0.0117,0.7611,0.1392,0.1137,0.2048,487
3,1,0.0324,0.7022,0.1038,0.1751,0.4128,730
3,2,0.0154,0.5328,0.0454,0.1595,0.2694,730
3,3,0.0127,0.6808,0.1122,0.0951,0.2179,730
3,4,0.0121,0.6559,0.1235,0.111,0.2036,730
3,5,0.0114,0.8071,0.2159,0.1088,0.28,730
3,6,0.0127,0.7744,0.2502,0.1166,0.2282,730
3,7,0.0116,0.7538,0.2286,0.1214,0.2562,730
3,8,0.0116,0.7576,0.2415,0.1124,0.2412,730
3,9,0.011,0.7757,0.2571,0.1131,0.2357,730
3,10,0.0115,0.7834,0.2726,0.1151,0.2409,730
3,11,0.0116,0.7882,0.2803,0.1139,0.2458,730
3,12,0.0109,0.789,0.2821,0.1135,0.2471,730
