transaction_id,date,agency,vendor_id,contract_type,amount,description,currency,is_anomaly
b3745666,2025-09-20,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Consultancy,3430553.95,Road safety consultancy services,INR,0
4a6652ee,2025-11-22,CPWD (Central Public Works Department),Wipro Government Solutions,Lump Sum,3326122.84,Electrical maintenance of Nirman Bhawan,INR,0
64a23730,2025-05-16,Ministry of Rural Development,Patanjali Ayurved,Consultancy,970977.21,Road construction under PMGSY,INR,0
df94c53c,2025-11-12,Ministry of Health & Family Welfare,Rail Vikas Nigam Ltd,Item Rate,884569.15,Procurement of vaccines,INR,0
2fbd80c7,2025-05-30,Ministry of Defence,Hindustan Construction Co,Lump Sum,7240428.78,Supply of high-altitude clothing,INR,0
89fd610c,2025-08-29,NHAI (National Highways Authority of India),Reliance Infrastructure,Consultancy,2227025.12,Road safety consultancy services,INR,0
8b7b4fcc,2025-06-25,Ministry of Defence,Infosys Ltd,Consultancy,17110984.16,Maintenance of cantonment roads,INR,0
72e10add,2025-03-20,Ministry of Railways,Larsen & Toubro Ltd,Lump Sum,56862.13,Track renewal works for Southern Zone,INR,0
6476c793,2025-10-10,Ministry of Rural Development,Wipro Government Solutions,EPC (Engineering Procurement Construction),2039948.33,Water conservation project,INR,0
39b6f0d1,2025-09-05,CPWD (Central Public Works Department),Patanjali Ayurved,EPC (Engineering Procurement Construction),975628.51,Electrical maintenance of Nirman Bhawan,INR,0
39a69dd3,2025-12-03,Ministry of Health & Family Welfare,Larsen & Toubro Ltd,Consultancy,4015416.18,Supply of medical equipment for AIIMS,INR,0
617de9f0,2025-08-02,Ministry of Rural Development,Shapoorji Pallonji Group,Item Rate,1622863.6,Road construction under PMGSY,INR,0
7db4a371,2025-11-15,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),1959129.63,Toll plaza operation and maintenance,INR,0
6b8e2e8b,2026-01-07,Ministry of Defence,Tata Projects Ltd,EPC (Engineering Procurement Construction),341713.96,Procurement of spare parts for vehicles,INR,0
58c8b4ed,2025-02-26,Ministry of Defence,Patanjali Ayurved,Consultancy,1704787.86,Maintenance of cantonment roads,INR,0
cff0d714,2025-04-29,Ministry of Railways,GMR Infrastructure,Lump Sum,291166.53,Signalling modernization for Chennai Central,INR,0
83143d29,2025-05-29,Ministry of Rural Development,Reliance Infrastructure,EPC (Engineering Procurement Construction),2320947.94,Road construction under PMGSY,INR,0
facc4be7,2025-03-02,Ministry of Health & Family Welfare,Bharat Electronics Ltd,Item Rate,4059732.14,Supply of medical equipment for AIIMS,INR,0
d22fbc73,2025-02-10,Ministry of Railways,GMR Infrastructure,Item Rate,1008053.81,Procurement of rolling stock components,INR,0
476dc892,2025-11-07,Ministry of Health & Family Welfare,Adani Enterprises,Consultancy,1005639.82,Procurement of vaccines,INR,0
9234c995,2025-02-06,Ministry of Rural Development,Infosys Ltd,EPC (Engineering Procurement Construction),1461871.3,Water conservation project,INR,0
e2e7d368,2025-06-22,NHAI (National Highways Authority of India),Reliance Infrastructure,Item Rate,943581.08,Construction of 4-lane highway section Phase-2,INR,0
90c983b2,2025-05-15,Ministry of Defence,Patanjali Ayurved,Lump Sum,4577942.81,Procurement of spare parts for vehicles,INR,0
8cfb81ca,2025-07-31,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),81650.28,Toll plaza operation and maintenance,INR,0
1b88c6a8,2025-04-04,Ministry of Railways,Adani Enterprises,EPC (Engineering Procurement Construction),3012305.36,Procurement of rolling stock components,INR,0
f0f533b5,2025-03-22,CPWD (Central Public Works Department),Hindustan Construction Co,EPC (Engineering Procurement Construction),120065.26,Electrical maintenance of Shastri Bhawan,INR,0
b5d34cf6,2025-06-30,Ministry of Defence,Reliance Infrastructure,Consultancy,4567537.91,Maintenance of cantonment roads,INR,0
509ce194,2025-05-08,NHAI (National Highways Authority of India),Infosys Ltd,Consultancy,575235.61,Toll plaza operation and maintenance,INR,0
b0cd092b,2025-05-10,Ministry of Health & Family Welfare,Tata Projects Ltd,Lump Sum,36628181.68,Hospital management works,INR,0
4f121bd6,2025-11-19,Ministry of Railways,Tata Projects Ltd,Consultancy,41371211.92,Urgent supply - Vendor TBD,INR,1
ff191cc2,2025-02-21,NHAI (National Highways Authority of India),Bharat Electronics Ltd,Consultancy,138587.18,Toll plaza operation and maintenance,INR,0
47c88a4f,2025-06-03,CPWD (Central Public Works Department),Infosys Ltd,Item Rate,3814072.47,Electrical maintenance of Nirman Bhawan,INR,0
95bd9ed6,2025-10-14,NHAI (National Highways Authority of India),GMR Infrastructure,Consultancy,674787.22,Construction of 4-lane highway section km 10-50,INR,0
